X,Y
471025.0,6058420.0
468094.0,6060170.0
469981.0,6066000.0
470209.0,6066260.0
474267.0,6070700.0
481015.0,6076960.0
483458.28,6080264.57
485906.79,6082574.07
487003.88,6083810.25
487437.9,6083527.97
488295.33,6083046.9
489182.38,6082622.94
489909.14,6082326.73
489998.89,6082276.65
490703.76,6081886.68
491590.54,6081462.88
492503.39,6081097.87
493420.9,6080798.36
494136.12,6080606.35
494864.59,6080379.02
495816.78,6080136.44
496013.36,6080094.51
496132.26,6080066.95
496461.79,6079985.79
497238.89,6079741.44
498191.15,6079498.85
498625.97,6079417.86
495529.11,6075106.73
495367.22,6074630.92
493609.93,6070670.96
492748.88,6069182.23
492003.65,6066630.45
491788.18,6065638.47
491263.55,6064099.07
490788.9,6062477.2
486125.72,6060771.0
